epoch, training loss, validation loss, mIoU

1,0.9432300368080968,0.9288414939419254,0.3581501245498657
2,0.9264063206703766,0.9228929929680877,0.3963510990142822
3,0.9201673314623211,0.9204712772107386,0.4110254645347595
4,0.9155548195476118,0.9189295532939198,0.4207870662212372
5,0.9136225937501244,0.9180634447506496,0.4286130964756012
6,0.91065639451794,0.9167087431792375,0.4578605890274048
7,0.9098727884499923,0.9168410897254944,0.4521638751029968
8,0.9077273030643878,0.9161657730301658,0.46769168972969055
9,0.9063550849323687,0.916284326668624,0.4504801034927368
10,0.9054478426342425,0.9160222077107691,0.4616810083389282
11,0.9045078657243563,0.9153603485652378,0.4754337668418884
12,0.9037542543981386,0.9152504199153775,0.4708857238292694
13,0.9032475222711978,0.9159999240885724,0.4674714207649231
14,0.9022187422151151,0.9149503393487616,0.4661197066307068
15,0.9016053430412126,0.9147738342756754,0.4763384163379669
16,0.9009390518717144,0.9155500531196594,0.46870020031929016
17,0.9006172243667685,0.9149347360317523,0.46448761224746704
18,0.8995772237363069,0.9151003753745949,0.47530627250671387
19,0.8997299774833347,0.9155446402319185,0.4654557704925537
20,0.8992898004210513,0.9149539195574247,0.4767942726612091
21,0.8987679734178211,0.9155032680584834,0.4589824676513672
22,0.898690938949585,0.9156875295953436,0.4566485285758972
23,0.8984714454930761,0.9148732875729655,0.47021275758743286
24,0.8976895277914794,0.9144073004250998,0.4858461618423462
25,0.8969518270181573,0.9139496520325378,0.4892275333404541
26,0.8966597338085589,0.9145423776500827,0.4750526547431946
27,0.8960733588622964,0.914195974449535,0.4912092089653015
28,0.8959123356186826,0.9159729565892901,0.45950502157211304
29,0.8957992591287779,0.9158624751227242,0.4655209481716156
30,0.8955364110677139,0.9149023556447291,0.4678899645805359

Weak CE + DICE

1,2.125541291807009,1.5546294293560825,0.39674168825149536
2,1.5200676192408022,1.4366812168896854,0.44010987877845764
3,1.373048229062039,1.3506166908767196,0.45554259419441223
4,1.2843825441339742,1.314892204253228,0.4842979609966278
5,1.2235410692899122,1.354588849203927,0.4722194969654083
6,1.176067361365194,1.336588170502212,0.4747272729873657
7,1.1457380730172861,1.2965656139038422,0.5092779397964478
8,1.1117645294769951,1.322502015711187,0.49805665016174316
9,1.0965338427087534,1.3229542354961017,0.500281572341919
10,1.0833206669144009,1.3271444459537884,0.5046178102493286
11,1.0662410790505616,1.3318711257242895,0.5057286024093628
12,1.055033005450083,1.318684580561879,0.50398850440979
13,1.061283045488855,1.3428205448192554,0.4918566346168518
14,1.0383168918930965,1.3605641270731832,0.4865979552268982
15,1.0362076999052712,1.3802862704455197,0.467210590839386
16,1.036842582018479,1.3267723714912332,0.5031578540802002
17,1.023042821365854,1.3468074955783047,0.5121150016784668
18,1.0121719882540081,1.3381423413098514,0.5113450288772583
19,1.0018712346968444,1.3602012919855642,0.515187680721283
20,0.9972712041243262,1.3354025018084181,0.5185906887054443
21,0.9987825349621151,1.3615896295715164,0.5052022933959961
22,0.9905754088059716,1.3359819834048932,0.5187894105911255
23,0.9855130334263262,1.3442280161511766,0.5231428146362305
24,0.989301217638928,1.364186751973498,0.5128862857818604
25,0.9889561106329379,1.365298956305116,0.5068680047988892
26,0.9949150370514911,1.3650365255691193,0.49574992060661316
27,1.006436469114345,1.4645900149921796,0.46271660923957825
28,1.0656164197818092,1.4875617852577796,0.42846164107322693
29,1.069585509274317,1.4163088746123262,0.4654535949230194
30,1.0306382794742999,1.4104643981535356,0.48354482650756836

WEAK CE + 2DICE

